,pergunta,resposta
1,O que significa a sigla SME em Fraiburgo?,"Significa Secretaria de Educação, Cultura e Esportes de Fraiburgo."
2,Quais são as principais áreas atendidas pela SME?,"A SME abrange Educação Infantil, Anos Iniciais, Anos Finais, Cultura e Esporte no município."
3,Qual é a missão da SME?,"Promover uma educação pública de qualidade, equitativa, inovadora e inclusiva, que visa o desenvolvimento integral dos estudantes por meio de práticas pedagógicas criativas, uso estratégico de tecnologia e a valorização dos profissionais da educação."
4,Qual é a visão da SME?,"Ser referência nacional em educação pública de excelência, promovendo o acesso pleno com alto desempenho nos indicadores educacionais."
5,Quais valores norteiam a SME?,"Excelência, Inovação, Equidade, Valorização Profissional e Sustentabilidade."
6,Qual é a função do Centro de Inovação da SME?,"Disponibilizar cursos, formações e capacitações em tecnologia educacional para professores, alunos e comunidade."
7,Quais ambientes existem no Centro de Inovação?,"Laboratório de informática, sala de realidade virtual, área maker com robótica e impressão 3D, departamento de TI e sala da coordenação de ensino digital."
8,Quais tipos de cursos o Centro de Inovação oferece?,"Gamificação, programação, robótica, impressão 3D, realidade aumentada e virtual, uso de quadros interativos e softwares educacionais."
9,Com quais parceiros a SME realiza formações?,"SESI, SENAI e SENAC são parceiros frequentes nas formações técnicas."
10,O que é o Smart Edu Dashboard?,Um painel interativo em Streamlit que apresenta dados educacionais da SME e do CMAE com filtros e visualizações dinâmicas.
11,Quais modos iniciais do Smart Edu Dashboard?,"Modos SME e CMAE, com previsão de modos Desenvolvimento Motor e AHSD."
12,O que é o Oráculo da Educação?,"Projeto de assistente baseado em modelos de linguagem, hospedado localmente, para apoiar consultas educacionais usando arquitetura de três servidores."
13,Como é a arquitetura dos servidores do Oráculo?,"Servidor 1 (frontend): 2 vCPUs, 8GB RAM. Servidor 2 (backend): 2 vCPUs, 8GB RAM. Servidor 3 (LLM): i3-13100F, 32GB, RTX 3050."
14,Qual sistema operacional será usado nos servidores?,Ubuntu Server LTS nos servidores de produção e Ubuntu Workstation no desenvolvimento.
15,Quais são as abas principais do novo site da SME?,"Página Inicial, Educação, Cultura, Esporte, CMAE, Equipe, Unidades, Cursos, Indicadores e Blog."
16,Quais funcionalidades o site da SME deve ter?,"Integrar blog existente, exibir gráficos do Looker Studio, carrossel de imagens, apresentar equipe e unidades escolares."
17,Como a SME utiliza gamificação?,Usa jogos como 'A Saga do Conhecimento' e softwares de alfabetização (GraphoGame) e matemática (MathKids) para engajar estudantes.
18,Que plataforma será usada para o site?,Google Sites será utilizado para criar o novo portal.
19,Qual projeto de chatbot vinculado ao combate à violência doméstica?,"O chatbot Anjo Amigo, desenvolvido em Tailwind e JavaScript com backend em FastAPI."
20,Quais são as metas da oficina IA para MEI?,Demonstrar aplicações de IA em marketing digital e gestão financeira e criar comunidade de apoio entre empreendedores.
21,Quais indicadores educacionais serão exibidos no site?,"Dados do IDEB, taxas de matrícula, abandono e resultados de avaliações externas, integrados via Looker Studio."
22,Qual é o objetivo do Smart Edu Dashboard para o CMAE?,Analisar dados de educação especial alem da escala Portage e triagem de altas habilidades/superdotação.
23,Como a SME planeja integrar o EducarWeb ao dashboard?,Usando banco de dados do EducarWeb para consultas sem réplica própria e com backups periódicos.
24,Quais tecnologias a SME prioriza nos projetos?,"Ferramentas modernas, visualmente agradáveis como Streamlit, React, Tailwind e Python."
25,Quem é Ezequiel Antunes de Lima na SME?,Técnico auxiliar de TI e coordenador de ensino digital responsável por inovação tecnológica e desenvolvimento de projetos.
26,Como a SME se beneficia de possuir infraestrutura própria?,"A infraestrutura própria garante autonomia, reduz custos de aluguel e permite adequações conforme as necessidades pedagógicas."
27,Qual a importância da aquisição da estrutura da EM José de Anchieta para a SME?,A aquisição ampliou a capacidade de atendimento e viabilizou novos projetos educacionais no espaço revitalizado.
28,Quais avanços foram feitos em acessibilidade nos prédios escolares da rede municipal?,"Foram instaladas rampas, banheiros adaptados, sinalização tátil e adequações que tornaram as escolas mais inclusivas."
29,Como a inovação no currículo escolar fortalece a SME?,"Incluir metodologias ativas, tecnologia e temas contemporâneos aumenta o engajamento dos alunos e eleva a qualidade do ensino."
30,De que forma a SME superou a meta federal no atendimento da Educação Integral?,"Expandiu o número de turmas em jornada ampliada e ofereceu atividades extracurriculares diversificadas, ultrapassando os índices propostos."
31,Como a parceria com SESI/SENAI e SENAC impulsiona a tecnologia no contraturno escolar?,"Essas parcerias oferecem cursos de robótica, programação e maker, enriquecendo o contraturno com formação técnica de qualidade."
32,Por que a alta porcentagem de professores efetivos é uma força?,"Professores efetivos garantem continuidade pedagógica, experiência acumulada e estabilidade nas equipes escolares."
33,Que serviços o Centro Municipal de Atendimento Especializado oferece?,"Atendimento Educacional Especializado, psicologia, psicopedagogia, fonoaudiologia, serviço social, estimulação motora e psiquiatria infantil."
34,Qual é o papel do Plano de Formação Continuada na SME?,"Assegura atualização constante dos profissionais, alinhando práticas pedagógicas às demandas atuais da educação."
35,O que representa a implementação da Gestão Democrática?,"Garante participação ativa da comunidade, transparência nas decisões e fortalecimento dos conselhos escolares."
36,Como a hora-atividade do professor beneficia a qualidade de ensino?,"Permite planejamento, estudo e colaboração entre docentes, refletindo em aulas melhor preparadas."
37,Por que o Transporte Escolar e Acadêmico gratuito é considerado de qualidade?,"Mantém rotas seguras, frota revisada e motoristas capacitados, assegurando acesso à escola e à universidade."
38,Como foi feita a revisão do Plano Municipal de Educação do último decênio?,"Foram coletados indicadores, realizados fóruns participativos e ajustadas metas para o próximo ciclo."
39,Qual o destaque no uso de recursos da Agricultura Familiar?,"A SME aplicou 96% na compra de alimentos da agricultura familiar, fortalecendo a economia local e a merenda escolar."
40,Como a SME criou 500 novas vagas na Educação Infantil?,"Construindo salas, ampliando unidades e otimizando a alocação de turmas existentes."
41,O que é o Bolsa Atleta implantado pela SME?,Programa de incentivo financeiro a estudantes atletas para apoiar treinamentos e participação em competições.
42,Como a SME fortalece a relação com a rede de proteção da criança e do adolescente?,"Promove protocolos conjuntos, formações e fluxos de atendimento integrados com Conselho Tutelar e demais órgãos."
43,O que são projetos intersetoriais realizados pela SME?,"Iniciativas que unem educação, saúde, assistência social e cultura para resolver desafios comuns."
44,Como a parceria escola e família é incentivada?,"Através de reuniões, oficinas, portais de comunicação e participação em conselhos escolares."
45,Qual a relevância da relação com AMARP e UNDIME?,"Troca de boas práticas, defesa de interesses municipais e participação em formações regionais."
46,Como é feita a assessoria no trabalho de alfabetização?,"Equipe especializada acompanha escolas, oferece recursos pedagógicos e monitoramento de resultados de leitura e escrita."
47,Para que serve a plataforma CAED na SME?,"Monitorar aprendizagens, aplicar avaliações diagnósticas e gerar relatórios para intervenções pedagógicas."
48,O que envolve a Política Nacional de Equidade Étnico-Racial e Quilombola na SME?,"Formação de professores, inclusão de conteúdos afro-brasileiros e ações de valorização cultural."
49,Por que a equipe técnica da SME é considerada comprometida?,"Atua de forma proativa em educação digital, inclusão, formação continuada e análise de dados."
50,Quais espaços inovadores existem no Centro de Inovação da SME?,"Laboratório de realidade virtual, robótica educativa e impressora 3D disponíveis para projetos dos alunos."
51,De que maneira a SME utiliza tecnologias educacionais avançadas?,"Implementa gamificação, dashboards interativos e inteligência artificial para personalizar o ensino."
52,Como o uso de Looker Studio e Streamlit demonstra comprometimento com dados?,"As plataformas permitem visualizar indicadores em tempo real, orientando decisões baseadas em evidências."
53,Por que a articulação com cultura e esporte é uma força?,"Integra projetos educativos a atividades culturais e esportivas, ampliando o desenvolvimento integral dos estudantes."
54,Qual é o impacto de ter uma equipe técnica incompleta na SME?,"A equipe técnica reduzida gera sobrecarga de trabalho, dificulta o cumprimento de prazos e limita o apoio às escolas."
55,Como a rotatividade de pessoal afeta a efetividade dos projetos da SME?,"A rotatividade provoca perda de know-how, descontinuidade de iniciativas e aumenta custos de capacitação."
56,Por que a lentidão nos processos de compras e PAD é considerada uma fraqueza?,"Processos morosos atrasam aquisições de materiais e resolução de questões administrativas, prejudicando o andamento das atividades."
57,Quais problemas surgem da falta de amparo legal para exonerações por mau desempenho?,"Dificulta a substituição de servidores que descumprem funções, mantendose profissionais desmotivados ou inadequados no quadro."
58,Como a desvalorização salarial dos profissionais ASG e AAN compromete a SME?,"Salários baixos reduzem motivação, aumentam absenteísmo e dificultam a atração de novos profissionais de apoio."
59,De que forma a comunicação institucional subutilizada prejudica a SME?,"A falta de uso efetivo de redes e site limita a divulgação de programas, reduz transparência e engajamento da comunidade."
60,Por que há baixa adesão inicial a ações inovadoras nas escolas?,Resistência à mudança e falta de capacitação podem levar professores a atrasar a implementação de novas práticas.
